time,Latitude_B4,Longitude_B4,Latitude_B6,Longitude_B6
2012-03-04 12:00:00,86.4103012085,-55.92533874515,NaN,NaN
2012-03-04 13:00:00,86.41110102335834,-55.9033247630125,NaN,NaN
2012-03-04 14:00:00,86.41190083821667,-55.881310780875,NaN,NaN
2012-03-04 15:00:00,86.412700653075,-55.8592967987375,NaN,NaN
2012-03-04 16:00:00,86.41350046793333,-55.8372828166,NaN,NaN
2012-03-04 17:00:00,86.41430028279167,-55.8152688344625,NaN,NaN
2012-03-04 18:00:00,86.41510009765,-55.793254852325,NaN,NaN
2012-03-04 19:00:00,86.41589991250834,-55.7712408701875,NaN,NaN
2012-03-04 20:00:00,86.41669972736668,-55.749226888049996,NaN,NaN
2012-03-04 21:00:00,86.417499542225,-55.727212905912495,NaN,NaN
2012-03-04 22:00:00,86.41829935708334,-55.705198923775,NaN,NaN
2012-03-04 23:00:00,86.41909917194167,-55.6831849416375,NaN,NaN
2012-03-05 00:00:00,86.4198989868,-55.6611709595,NaN,NaN
2012-03-05 01:00:00,86.41739177702084,-55.66129032773333,NaN,NaN
2012-03-05 02:00:00,86.41488456724167,-55.66140969596667,NaN,NaN
2012-03-05 03:00:00,86.4123773574625,-55.661529064199996,NaN,NaN
2012-03-05 04:00:00,86.40987014768334,-55.66164843243333,NaN,NaN
2012-03-05 05:00:00,86.40736293790417,-55.66176780066667,NaN,NaN
2012-03-05 06:00:00,86.404855728125,-55.661887168899995,NaN,NaN
2012-03-05 07:00:00,86.40234851834585,-55.66200653713333,NaN,NaN
2012-03-05 08:00:00,86.39984130856668,-55.662125905366665,NaN,NaN
2012-03-05 09:00:00,86.39733409878751,-55.6622452736,NaN,NaN
2012-03-05 10:00:00,86.39482688900834,-55.662364641833335,NaN,NaN
2012-03-05 11:00:00,86.39231967922917,-55.66248401006666,NaN,NaN
2012-03-05 12:00:00,86.38981246945,-55.6626033783,NaN,NaN
2012-03-05 13:00:00,86.38730525967084,-55.66272274653333,NaN,NaN
2012-03-05 14:00:00,86.38479804989167,-55.66284211476666,NaN,NaN
2012-03-05 15:00:00,86.3822908401125,-55.662961483,NaN,NaN
2012-03-05 16:00:00,86.37978363033334,-55.66308085123333,NaN,NaN
2012-03-05 17:00:00,86.37727642055417,-55.66320021946667,NaN,NaN
2012-03-05 18:00:00,86.37476921077501,-55.6633195877,NaN,NaN
2012-03-05 19:00:00,86.37226200099585,-55.66343895593333,NaN,NaN
2012-03-05 20:00:00,86.36975479121668,-55.663558324166665,NaN,NaN
2012-03-05 21:00:00,86.36724758143751,-55.6636776924,NaN,NaN
2012-03-05 22:00:00,86.36474037165834,-55.66379706063333,NaN,NaN
2012-03-05 23:00:00,86.36223316187917,-55.66391642886666,NaN,NaN
2012-03-06 00:00:00,86.3597259521,-55.6640357971,NaN,NaN
2012-03-06 01:00:00,86.35955333705,-55.5324899355375,NaN,NaN
2012-03-06 02:00:00,86.35938072200001,-55.400944073975,NaN,NaN
2012-03-06 03:00:00,86.35920810695,-55.2693982124125,NaN,NaN
2012-03-06 04:00:00,86.3590354919,-55.13785235085,NaN,NaN
2012-03-06 05:00:00,86.35886287685001,-55.006306489287496,NaN,NaN
2012-03-06 06:00:00,86.3586902618,-54.874760627724996,NaN,NaN
2012-03-06 07:00:00,86.35851764675,-54.7432147661625,NaN,NaN
2012-03-06 08:00:00,86.35834503170001,-54.6116689046,NaN,NaN
2012-03-06 09:00:00,86.35817241665,-54.4801230430375,NaN,NaN
2012-03-06 10:00:00,86.3579998016,-54.348577181475,NaN,NaN
2012-03-06 11:00:00,86.35782718655001,-54.2170313199125,NaN,NaN
2012-03-06 12:00:00,86.3576545715,-54.08548545835,NaN,NaN
2012-03-06 13:00:00,86.35748195645,-53.9539395967875,NaN,NaN
2012-03-06 14:00:00,86.35730934140001,-53.822393735225,NaN,NaN
2012-03-06 15:00:00,86.35713672635,-53.6908478736625,NaN,NaN
2012-03-06 16:00:00,86.3569641113,-53.5593020121,NaN,NaN
2012-03-06 17:00:00,86.35679149625001,-53.4277561505375,NaN,NaN
2012-03-06 18:00:00,86.3566188812,-53.296210288975004,NaN,NaN
2012-03-06 19:00:00,86.35644626615,-53.164664427412504,NaN,NaN
2012-03-06 20:00:00,86.35627365110001,-53.03311856585,NaN,NaN
2012-03-06 21:00:00,86.35610103605,-52.9015727042875,NaN,NaN
2012-03-06 22:00:00,86.355928421,-52.770026842725,NaN,NaN
2012-03-06 23:00:00,86.35575580595001,-52.6384809811625,NaN,NaN
2012-03-07 00:00:00,86.3555831909,-52.5069351196,NaN,NaN
2012-03-07 01:00:00,86.35594844816251,-52.48639281587917,NaN,NaN
2012-03-07 02:00:00,86.35631370542501,-52.46585051215833,NaN,NaN
2012-03-07 03:00:00,86.35667896268751,-52.4453082084375,NaN,NaN
2012-03-07 04:00:00,86.35704421995001,-52.424765904716665,NaN,NaN
2012-03-07 05:00:00,86.3574094772125,-52.404223600995834,NaN,NaN
2012-03-07 06:00:00,86.357774734475,-52.383681297275004,NaN,NaN
2012-03-07 07:00:00,86.3581399917375,-52.363138993554166,NaN,NaN
2012-03-07 08:00:00,86.358505249,-52.342596689833336,NaN,NaN
2012-03-07 09:00:00,86.3588705062625,-52.3220543861125,NaN,NaN
2012-03-07 10:00:00,86.359235763525,-52.30151208239167,NaN,NaN
2012-03-07 11:00:00,86.35960102078751,-52.28096977867083,NaN,NaN
2012-03-07 12:00:00,86.35996627805,-52.26042747495,NaN,NaN
2012-03-07 13:00:00,86.3603315353125,-52.23988517122917,NaN,NaN
2012-03-07 14:00:00,86.360696792575,-52.21934286750833,NaN,NaN
2012-03-07 15:00:00,86.3610620498375,-52.1988005637875,NaN,NaN
2012-03-07 16:00:00,86.3614273071,-52.17825826006666,NaN,NaN
2012-03-07 17:00:00,86.3617925643625,-52.15771595634583,NaN,NaN
2012-03-07 18:00:00,86.362157821625,-52.137173652624995,NaN,NaN
2012-03-07 19:00:00,86.3625230788875,-52.116631348904164,NaN,NaN
2012-03-07 20:00:00,86.36288833615001,-52.096089045183334,NaN,NaN
2012-03-07 21:00:00,86.3632535934125,-52.075546741462496,NaN,NaN
2012-03-07 22:00:00,86.363618850675,-52.055004437741665,NaN,NaN
2012-03-07 23:00:00,86.3639841079375,-52.03446213402083,NaN,NaN
2012-03-08 00:00:00,86.3643493652,-52.0139198303,NaN,NaN
2012-03-08 01:00:00,86.363013585375,-52.05119625725,NaN,NaN
2012-03-08 02:00:00,86.36167780555,-52.0884726842,NaN,NaN
2012-03-08 03:00:00,86.360342025725,-52.12574911115,NaN,NaN
2012-03-08 04:00:00,86.35900624589999,-52.1630255381,NaN,NaN
2012-03-08 05:00:00,86.35767046607499,-52.200301965049995,NaN,NaN
2012-03-08 06:00:00,86.35633468625,-52.237578391999996,NaN,NaN
2012-03-08 07:00:00,86.354998906425,-52.27485481895,NaN,NaN
2012-03-08 08:00:00,86.3536631266,-52.3121312459,NaN,NaN
2012-03-08 09:00:00,86.352327346775,-52.34940767285,NaN,NaN
2012-03-08 10:00:00,86.35099156695,-52.3866840998,NaN,NaN
2012-03-08 11:00:00,86.349655787125,-52.42396052675,NaN,NaN
2012-03-08 12:00:00,86.3483200073,-52.461236953699995,NaN,NaN
2012-03-08 13:00:00,86.34698422747499,-52.498513380649996,NaN,NaN
2012-03-08 14:00:00,86.34564844764999,-52.5357898076,NaN,NaN
2012-03-08 15:00:00,86.344312667825,-52.57306623455,NaN,NaN
2012-03-08 16:00:00,86.342976888,-52.6103426615,NaN,NaN
2012-03-08 17:00:00,86.341641108175,-52.64761908845,NaN,NaN
2012-03-08 18:00:00,86.34030532835,-52.6848955154,NaN,NaN
2012-03-08 19:00:00,86.338969548525,-52.72217194235,NaN,NaN
2012-03-08 20:00:00,86.33763376869999,-52.7594483693,NaN,NaN
2012-03-08 21:00:00,86.33629798887499,-52.79672479625,NaN,NaN
2012-03-08 22:00:00,86.33496220904999,-52.8340012232,NaN,NaN
2012-03-08 23:00:00,86.33362642922499,-52.87127765015,NaN,NaN
2012-03-09 00:00:00,86.3322906494,-52.9085540771,NaN,NaN
2012-03-09 01:00:00,86.33363183337916,-52.9547065098625,NaN,NaN
2012-03-09 02:00:00,86.33497301735832,-53.000858942625,NaN,NaN
2012-03-09 03:00:00,86.3363142013375,-53.0470113753875,NaN,NaN
